imdbId,title,releaseYear,releaseDate,genre,writers,actor_id,actors,director_id,directors,sequel,hitFlop
tt0331216,Chor Machaaye Shor,2002,23-Aug-02,Action | Comedy | Crime,Shahnawaz Ahmed Kenny (scenario) | Anwar Khan (dialogue) | Yunus Sajawal,480,Zayed Khan,108,Mehul Kumar,0,2
tt0331256,Gunaah,2002,16-Oct-02,Crime | Drama,Mahesh Bhatt (screenplay) | Pranay Narayan (dialogue),481,Neha Dhupia,109,Ashok Tyagi,0,2
tt0331421,Akhiyon Se Goli Maare,2002,2-Aug-02,Comedy,Rajeev Kaul (screenplay) | Rajeev Kaul (story) | Anwar Khan (dialogue) | Praful Parekh (screenplay) | Praful Parekh (story),482,Irrfan Khan,110,Chandan Arora,0,2
tt0331453,Chhal,2002,9-Aug-02,Action | Thriller | Drama,Suparn Verma (screenplay) | Suparn Verma (story) | Suparn Verma,483,Revathy,111,Rahat Kazmi,0,1
tt0331479,Ek Chhotisi Love Story,2002,6-Sep-02,Comedy | Drama | Fantasy,Pankaj Kapoor,484,Girish Karnad,112,Raj N. Sippy,0,6
tt0331639,Shakthi: The Power,2002,20-Sep-02,Action | Drama,Krishna Vamshi (screenplay) | Kamal Pandey (dialogue),485,Fardeen Khan,113,Ajai Sinha,0,2
tt0331851,Armaan,2003,16-May-03,Drama | Family | Romance,Javed Akhtar (dialogue) | Javed Akhtar (screenplay) | Honey Irani (screenplay) | Honey Irani (story),486,Mahesh Manjrekar,114,Shyam Ramsay,0,2
tt0332766,Sur: The Melody of Life,2002,13-Sep-02,Drama | Musical,Tanuja Chandra | Vibha Singh (dialogue),487,Shakti Kapoor,115,Jag Mundhra,0,1
tt0335044,Dil Vil Pyar Vyar,2002,18-Oct-02,Romance,Sanjeev Puri (dialogue) | Sujit Sen (screenplay) | Vivek Vaswani (story),488,Shiney Ahuja,116,Kalpana Lajmi,0,2
tt0335592,Pyaasa,2002,11-Oct-02,Romance |Drama |Musical,N/A,489,Lillete Dubey,117,Ajay Chandhok,0,1
tt0337578,Baghban,2003,3-Oct-03,Drama | Romance,Shafiq Ansari (screenplay) | Satish Bhatnagar (screenplay) | B.R. Chopra (story) | Ram Govind (screenplay) | Achala Nagar (dialogue) | Achala Nagar (screenplay),490,Shreyas Talpade,118,Puneet Sira,0,6
tt0337633,Hathyar: Face to Face with Reality,2002,18-Oct-02,Action | Thriller | Crime,Praveen Bhardwaj (lyrics) | Dev Kohli (lyrics) | Mahesh Manjrekar | Nitin Raikwar (lyrics) | Vineet Srinet (lyrics) | Sanjay Upadhyay (lyrics),491,Minissha Lamba,1,Rajkumar Hirani,1,2
